formula,Property Lattice parameter (a),Property Lattice parameter (a) units,Property Cell angle ($\gamma$),Property Cell angle ($\gamma$) units,Property Melting point,Property Melting point units,Property Crystal system,Property Lattice parameter (c),Property Lattice parameter (c) units,Property Cell angle ($\alpha$),Property Cell angle ($\alpha$) units,Property Lattice parameter (b),Property Lattice parameter (b) units,Property Cell angle ($\beta$),Property Cell angle ($\beta$) units,Property Space group number
CdCl$_{4}$H$_{6}$Na$_{2}$O$_{3}$,7.89(2),$\AA$,120,°,,,trigonal,26.52(2),$\AA$,90,°,7.89(2),$\AA$,90,°,166
O$_{78}$Rb$_{10}$Ta$_{29.2}$,7.505,$\AA$,120,°,,,hexagonal,36.37,$\AA$,90,°,7.505,$\AA$,90,°,194
K$_{3}$Nb$_{8}$O$_{21}$,9.153(4),$\AA$,120,°,,,hexagonal,12.066(8),$\AA$,90,°,9.153(4),$\AA$,90,°,193
K$_{3}$Nb$_{7}$O$_{21}$Ti,9.107(4),$\AA$,120,°,,,hexagonal,12.011(8),$\AA$,90,°,9.107(4),$\AA$,90,°,193
Ba$_{3}$Nb$_{4}$O$_{21}$Ti$_{4}$,9.040(4),$\AA$,120,°,,,hexagonal,11.767(8),$\AA$,90,°,9.040(4),$\AA$,90,°,193
Na$_{2}$O$_{6}$Ta$_{2}$,10.442(6),$\AA$,90,°,,,cubic,10.442(5),$\AA$,90,°,10.442(5),$\AA$,90,°,227
,5.351,$\AA$,90,°,,,monoclinic,15.03,$\AA$,90,°,9.262,$\AA$,96.83,°,12
Nb$_{2}$O$_{6}$Pb,17.65(2),$\AA$,90,°,,,orthorhombic,3.870(5),$\AA$,90,°,17.92(2),$\AA$,90,°,38
H$_{2}$LiNbO$_{7}$W,10.397(3),$\AA$,90,°,,,cubic,10.397(3),$\AA$,90,°,10.397(3),$\AA$,90,°,227
Bi$_{0.4}$Cd$_{1.733}$O$_{7}$Ta$_{1.867}$,10.421,$\AA$,90,°,,,cubic,10.421,$\AA$,90,°,10.421,$\AA$,90,°,227
H$_{1.1}$NbO$_{6.05}$W,10.355,$\AA$,90,°,,,cubic,10.355,$\AA$,90,°,10.355,$\AA$,90,°,227
